"value"	"GWAS_Trait"	"gene"
"Adult body size"	1	"ADH1A"
"Alcohol consumption"	2	"ADH1A"
"Alcohol consumption (drinks per week)"	80	"ADH1A"
"Alcohol consumption (drinks per week) (MTAG)"	2	"ADH1A"
"Alcohol consumption in current drinkers"	2	"ADH1A"
"Alcohol dependence"	67	"ADH1A"
"Alcohol use disorder"	4	"ADH1A"
"Alcohol use disorder (consumption score)"	4	"ADH1A"
"Apolipoprotein A1 levels"	2	"ADH1A"
"Balding type 1"	9	"ADH1A"
"Bitter alcoholic beverage consumption"	36	"ADH1A"
"Blood protein levels"	9	"ADH1A"
"C-reactive protein levels"	2	"ADH1A"
"Electrocardiogram morphology (amplitude at temporal datapoints)"	1	"ADH1A"
"Estimated glomerular filtration rate"	2	"ADH1A"
"FEV1"	2	"ADH1A"
"Glycine levels"	2	"ADH1A"
"HDL cholesterol levels"	39	"ADH1A"
"Household income (MTAG)"	2	"ADH1A"
"Intelligence"	2	"ADH1A"
"Lung function (FVC)"	2	"ADH1A"
"Male-pattern baldness"	9	"ADH1A"
"Neutrophil count"	4	"ADH1A"
"Peak expiratory flow"	2	"ADH1A"
"Plasma free amino acid levels"	2	"ADH1A"
"Plasma free amino acid levels (adjusted for twenty other PFAAs)"	2	"ADH1A"
"Problematic alcohol use"	2	"ADH1A"
"Problematic alcohol use (MTAG)"	2	"ADH1A"
"Red cell distribution width"	2	"ADH1A"
"Serum 25-Hydroxyvitamin D levels"	39	"ADH1A"
"Systolic blood pressure"	2	"ADH1A"
"Total cholesterol levels"	36	"ADH1A"
"Waist circumference adjusted for body mass index"	2	"ADH1A"
"Waist-hip ratio"	6	"ADH1A"
"White blood cell count"	8	"ADH1A"
"Alcohol consumption (drinks per week)"	35	"ADH1B"
"Alcohol use disorder"	233	"ADH1B"
"Apolipoprotein A1 levels"	233	"ADH1B"
"Blood protein levels"	263	"ADH1B"
"Body fat distribution (leg fat ratio)"	2	"ADH1B"
"Body fat distribution (trunk fat ratio)"	2	"ADH1B"
"Eosinophil counts"	9	"ADH1B"
"Factor VII activity"	466	"ADH1B"
"Factor VII activity or levels"	233	"ADH1B"
"Fat-free mass"	1	"ADH1B"
"HDL cholesterol levels"	37	"ADH1B"
"Height"	8	"ADH1B"
"Hip circumference adjusted for BMI"	2	"ADH1B"
"Lymphocyte counts"	8	"ADH1B"
"Lymphocyte percentage of white cells"	8	"ADH1B"
"Mean platelet volume"	699	"ADH1B"
"Neutrophil percentage of white cells"	8	"ADH1B"
"Platelet count"	699	"ADH1B"
"Problematic alcohol use"	44	"ADH1B"
"Serum 25-Hydroxyvitamin D levels"	37	"ADH1B"
"Sex hormone-binding globulin levels"	466	"ADH1B"
"Sex hormone-binding globulin levels adjusted for BMI"	510	"ADH1B"
"Sleep duration"	1	"ADH1B"
"Total testosterone levels"	87	"ADH1B"
"Triglyceride levels"	233	"ADH1B"
"Triglycerides"	233	"ADH1B"
"Waist circumference adjusted for body mass index"	1	"ADH1B"
"Adult body size"	2	"ADH1C"
"Alcohol consumption"	102	"ADH1C"
"Alcohol consumption (drinks per week)"	189	"ADH1C"
"Alcohol consumption (drinks per week) (MTAG)"	187	"ADH1C"
"Alcohol consumption in current drinkers"	102	"ADH1C"
"Alcohol dependence"	406	"ADH1C"
"Alcohol use disorder"	209	"ADH1C"
"Alcohol use disorder (consumption score)"	204	"ADH1C"
"Apolipoprotein A1 levels"	107	"ADH1C"
"Bitter alcoholic beverage consumption"	119	"ADH1C"
"Blood protein levels"	5	"ADH1C"
"Body mass index"	2	"ADH1C"
"C-reactive protein levels"	102	"ADH1C"
"Factor VII activity"	10	"ADH1C"
"Factor VII activity or levels"	5	"ADH1C"
"HDL cholesterol levels"	39	"ADH1C"
"Height"	4	"ADH1C"
"Hematocrit"	24	"ADH1C"
"Hemoglobin concentration"	24	"ADH1C"
"High light scatter reticulocyte count"	3	"ADH1C"
"High light scatter reticulocyte percentage of red cells"	3	"ADH1C"
"Mean platelet volume"	15	"ADH1C"
"Monocyte count"	2	"ADH1C"
"Monocyte percentage of white cells"	2	"ADH1C"
"Platelet count"	15	"ADH1C"
"Problematic alcohol use"	1	"ADH1C"
"Problematic alcohol use (MTAG)"	102	"ADH1C"
"Prostate cancer"	2	"ADH1C"
"Pulse pressure"	1	"ADH1C"
