value	GWAS_Trait	gene
Acne (severe)	6	ALDH2
Adolescent idiopathic scoliosis	93	ALDH2
Adult body size	8	ALDH2
Adventurousness	2	ALDH18A1
Alcohol consumption (drinkers vs non-drinkers)	1	ALDH1B1
"Allergic disease (asthma, hay fever and/or eczema) (age of onset)"	10	ALDH2
"Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis)"	10	ALDH2
"Allergic disease (asthma, hay fever or eczema)"	20	ALDH2
Allergic rhinitis	20	ALDH2
Anxiety/tension (special factor of neuroticism)	6	ALDH2
Apolipoprotein A1 levels	2	ALDH18A1
Apolipoprotein A1 levels	19	ALDH2
Apolipoprotein B levels	2	ALDH16A1
Apolipoprotein B levels	11	ALDH2
Appendicular lean mass	33	ALDH2
Arthritis (juvenile idiopathic)	10	ALDH2
Aspartate aminotransferase levels	3	ALDH16A1
Asthma	24	ALDH2
Asthma (childhood onset)	16	ALDH2
Atopic asthma	9	ALDH2
Autism spectrum disorder	4	ALDH3A2
Autism spectrum disorder (MTAG)	2	ALDH3A2
Autoimmune thyroid disease	14	ALDH2
Autoimmune traits	2	ALDH16A1
Autoimmune traits	14	ALDH2
Basophil count	35	ALDH2
Beta-2 microglubulin plasma levels	11	ALDH2
Bioavailable testosterone levels	1	ALDH2
Bipolar disorder (MTAG)	23	ALDH2
Bipolar disorder lithium response (categorical) or schizophrenia	23	ALDH2
Bipolar disorder or major depressive disorder	1	ALDH2
Birth weight	21	ALDH2
Bitter non-alcoholic beverage consumption	24	ALDH1L2
Blond vs. brown/black hair color	104	ALDH2
Blood metabolite levels	102	ALDH18A1
Blood metabolite levels	11	ALDH2
Blood pressure	9	ALDH2
Blood protein levels	1	ALDH16A1
Blood protein levels	204	ALDH18A1
Blood protein levels	15	ALDH1L2
Blood protein levels	21	ALDH2
Blood protein levels	2	ALDH3A1
Blood protein levels	36	ALDH3A2
Blood protein levels	98	ALDH6A1
Body fat distribution (arm fat ratio)	3	ALDH6A1
Body fat distribution (leg fat ratio)	2	ALDH2
Body fat distribution (trunk fat ratio)	2	ALDH2
Body mass index	54	ALDH2
Body mass index	1	ALDH3A2
Body mass index	3	ALDH6A1
"Bone mineral density (paediatric, lower limb)"	1	ALDH2
"Bone mineral density (paediatric, total body less head)"	1	ALDH2
Brain morphology (min-P)	2	ALDH6A1
Brain region volumes	3	ALDH2
Brain region volumes	2	ALDH6A1
C-C motif chemokine 3 levels	11	ALDH2
C-reactive protein	2	ALDH2
C-reactive protein levels	13	ALDH2
C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	61	ALDH2
C-reactive protein levels or total cholesterol levels (pleiotropy)	1	ALDH2
C-X-C motif chemokine 16 levels	9	ALDH2
Cardiovascular disease	21	ALDH2
Carotid intima media thickness	3	ALDH2
Celiac disease	31	ALDH2
Celiac disease and Rheumatoid arthritis	10	ALDH2
Celiac disease or Rheumatoid arthritis	9	ALDH2
Chloride levels	9	ALDH2
"Cholesterol, total"	30	ALDH2
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	11	ALDH2
Chronic kidney disease	9	ALDH2
Chronotype	15	ALDH1L2
Chronotype	45	ALDH2
Chronotype	34	ALDH6A1
Chronotype	1	ALDH7A1
Coffee consumption	1	ALDH1L2
"Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)"	23	ALDH2
Cognitive performance	1	ALDH2
Cognitive performance (MTAG)	1	ALDH2
Colorectal cancer	43	ALDH2
Colorectal cancer or advanced adenoma	10	ALDH2
Colorectal or endometrial cancer	11	ALDH2
Coronary artery disease	148	ALDH2
"Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)"	21	ALDH2
Coronary artery disease or ischemic stroke	6	ALDH2
Coronary artery disease or large artery stroke	6	ALDH2
