"Query"	"GWAS_Trait"	"RS_Number"	"Position_GRCh37"	"Alleles"	"R2"	"D'"	"Risk_Allele"	"Effect_Size_95_CI"	"Beta_or_OR"	"P_value"
"rs904092"	"Alcohol dependence"	"rs904092"	"chr4:100214164"	"A=0.146, G=0.854"	"1"	"1"	"0.763"	"1.3003901"	"(,)"	5e-09
"rs904092"	"Alcohol dependence"	"rs904092"	"chr4:100214164"	"A=0.146, G=0.854"	"1"	"1"	"NR"	NA	NA	9e-06
"rs904092"	"Alcohol dependence"	"rs904092"	"chr4:100214164"	"A=0.146, G=0.854"	"1"	"1"	"0.24"	"0.022"	"(,)"	3e-11
"rs904092"	"Waist-hip ratio"	"rs1789882"	"chr4:100235053"	"A=0.141, G=0.859"	"0.959837728194726"	"1"	"0.1691"	"0.016"	"0.011-0.021"	1e-11
"rs904092"	"Alcohol dependence"	"rs1789882"	"chr4:100235053"	"A=0.141, G=0.859"	"0.959837728194726"	"1"	"0.769"	"1.303781"	"(,)"	2e-09
"rs904092"	"Alcohol dependence"	"rs1789882"	"chr4:100235053"	"A=0.141, G=0.859"	"0.959837728194726"	"1"	"0.234"	"0.0223"	"(,)"	2e-12
"rs904092"	"Alcohol dependence"	"rs1789882"	"chr4:100235053"	"A=0.141, G=0.859"	"0.959837728194726"	"1"	"NR"	NA	NA	6e-06
"rs904092"	"Major depression and alcohol dependence"	"rs1693457"	"chr4:100236762"	"C=0.146, T=0.854"	"0.920832316637428"	"0.959600081615997"	"0.206"	"0.514"	NA	7e-06
"rs904092"	"Alcohol dependence"	"rs1693457"	"chr4:100236762"	"C=0.146, T=0.854"	"0.920832316637428"	"0.959600081615997"	"0.768"	"1.3020833"	"(,)"	2e-09
"rs904092"	"Alcohol dependence"	"rs1693457"	"chr4:100236762"	"C=0.146, T=0.854"	"0.920832316637428"	"0.959600081615997"	"0.235"	"0.0223"	"(,)"	3e-12
"rs904092"	"Alcohol dependence"	"rs1693457"	"chr4:100236762"	"C=0.146, T=0.854"	"0.920832316637428"	"0.959600081615997"	"NR"	NA	NA	4e-06
"rs1229987"	"Alcohol dependence"	"rs904092"	"chr4:100214164"	"A=0.146, G=0.854"	"1"	"1"	"0.763"	"1.3003901"	"(,)"	5e-09
"rs1229987"	"Alcohol dependence"	"rs904092"	"chr4:100214164"	"A=0.146, G=0.854"	"1"	"1"	"NR"	NA	NA	9e-06
"rs1229987"	"Alcohol dependence"	"rs904092"	"chr4:100214164"	"A=0.146, G=0.854"	"1"	"1"	"0.24"	"0.022"	"(,)"	3e-11
"rs1229987"	"Waist-hip ratio"	"rs1789882"	"chr4:100235053"	"A=0.141, G=0.859"	"0.959837728194726"	"1"	"0.1691"	"0.016"	"0.011-0.021"	1e-11
"rs1229987"	"Alcohol dependence"	"rs1789882"	"chr4:100235053"	"A=0.141, G=0.859"	"0.959837728194726"	"1"	"0.769"	"1.303781"	"(,)"	2e-09
"rs1229987"	"Alcohol dependence"	"rs1789882"	"chr4:100235053"	"A=0.141, G=0.859"	"0.959837728194726"	"1"	"0.234"	"0.0223"	"(,)"	2e-12
"rs1229987"	"Alcohol dependence"	"rs1789882"	"chr4:100235053"	"A=0.141, G=0.859"	"0.959837728194726"	"1"	"NR"	NA	NA	6e-06
"rs1229987"	"Major depression and alcohol dependence"	"rs1693457"	"chr4:100236762"	"C=0.146, T=0.854"	"0.920832316637428"	"0.959600081615997"	"0.206"	"0.514"	NA	7e-06
"rs1229987"	"Alcohol dependence"	"rs1693457"	"chr4:100236762"	"C=0.146, T=0.854"	"0.920832316637428"	"0.959600081615997"	"0.768"	"1.3020833"	"(,)"	2e-09
"rs1229987"	"Alcohol dependence"	"rs1693457"	"chr4:100236762"	"C=0.146, T=0.854"	"0.920832316637428"	"0.959600081615997"	"0.235"	"0.0223"	"(,)"	3e-12
"rs1229987"	"Alcohol dependence"	"rs1693457"	"chr4:100236762"	"C=0.146, T=0.854"	"0.920832316637428"	"0.959600081615997"	"NR"	NA	NA	4e-06
"rs1693458"	"Alcohol dependence"	"rs904092"	"chr4:100214164"	"A=0.146, G=0.854"	"0.959837728194726"	"1"	"0.763"	"1.3003901"	"(,)"	5e-09
