"Query"	"GWAS_Trait"	"RS_Number"	"Position_GRCh37"	"Alleles"	"R2"	"D'"	"Risk_Allele"	"Effect_Size_95_CI"	"Beta_or_OR"	"P_value"
"rs788857"	"Height"	"rs788867"	"chr4:82150006"	"G=0.308, T=0.692"	"0.930444964871194"	"1"	"0.68"	"0.043"	NA	9e-28
"rs788857"	"Height"	"rs788867"	"chr4:82150006"	"G=0.308, T=0.692"	"0.930444964871194"	"1"	"NR"	"0.04613154"	"0.034-0.058"	1e-13
"rs788857"	"Height"	"rs17556750"	"chr4:82155568"	"A=0.303, C=0.697"	"0.952857142857143"	"1"	"0.314"	"0.046"	"0.04-0.052"	8e-48
"rs788857"	"Height"	"rs994014"	"chr4:82165790"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"0.29"	"0.054"	"0.036-0.072"	8e-10
"rs788857"	"Height"	"rs994014"	"chr4:82165790"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"NR"	"0.04822887"	"0.036-0.061"	3e-14
"rs788857"	"Body fat distribution (trunk fat ratio)"	"rs994014"	"chr4:82165790"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"0.311887"	"0.02274"	"()"	1e-17
"rs788857"	"Body fat distribution (leg fat ratio)"	"rs994014"	"chr4:82165790"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"0.311887"	"0.01912"	"()"	2e-13
"rs788857"	"Body fat distribution (trunk fat ratio)"	"rs994014"	"chr4:82165790"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"0.311887"	"0.03558"	"()"	1e-26
"rs788857"	"Body fat distribution (leg fat ratio)"	"rs994014"	"chr4:82165790"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"0.311887"	"0.0303"	"()"	1e-20
"rs788857"	"Height"	"rs994014"	"chr4:82165790"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"NR"	NA	NA	6e-146
"rs788857"	"Hip circumference adjusted for BMI"	"rs1662837"	"chr4:82168889"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"0.6833"	"0.0311"	"0.021-0.041"	2e-10
"rs788857"	"Hip circumference adjusted for BMI"	"rs1662837"	"chr4:82168889"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"0.6833"	"0.0283"	"0.021-0.036"	1e-13
"rs788857"	"Fat-free mass"	"rs1662835"	"chr4:82172449"	"C=0.318, T=0.682"	"0.887755102040816"	"1"	"NR"	"0.15955"	"0.11-0.21"	3e-11
"rs788857"	"Height"	"rs1975474"	"chr4:82178937"	"G=0.318, T=0.682"	"0.887755102040816"	"1"	"0.6933"	"0.0596"	"0.046-0.073"	6e-18
