"Query"	"GWAS_Trait"	"RS_Number"	"Position_GRCh37"	"Alleles"	"R2"	"D'"	"Risk_Allele"	"Effect_Size_95_CI"	"Beta_or_OR"	"P_value"
"rs10849941"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	1e-26
"rs10849941"	"Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	NA	NA	NA	1e-16
"rs10849941"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	3e-23
"rs10849941"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	6e-12
"rs10849941"	"Systolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	2e-19
"rs10849941"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	8e-13
"rs10849942"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	1e-26
"rs10849942"	"Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	NA	NA	NA	1e-16
"rs10849942"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	3e-23
"rs10849942"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	6e-12
"rs10849942"	"Systolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	2e-19
"rs10849942"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	8e-13
"rs11065884"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	1e-26
"rs11065884"	"Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	NA	NA	NA	1e-16
"rs11065884"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	3e-23
"rs11065884"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	6e-12
"rs11065884"	"Systolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	2e-19
"rs11065884"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	8e-13
"rs10849943"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	1e-26
"rs10849943"	"Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	NA	NA	NA	1e-16
"rs10849943"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	3e-23
"rs10849943"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	6e-12
"rs10849943"	"Systolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	2e-19
"rs10849943"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"0.969972702456779"	"1"	"NR"	NA	NA	8e-13
"rs10849944"	"Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"1"	"1"	"NR"	NA	NA	1e-26
"rs10849944"	"Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"1"	"1"	NA	NA	NA	1e-16
"rs10849944"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"1"	"1"	"NR"	NA	NA	3e-23
"rs10849944"	"Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"1"	"1"	"NR"	NA	NA	6e-12
"rs10849944"	"Systolic blood pressure x smoking status (ever vs never) interaction (2df test)"	"rs4375492"	"chr12:111835990"	"A=0.788, G=0.212"	"1"	"1"	"NR"	NA	NA	2e-19
