"Query"	"GWAS_Trait"	"RS_Number"	"Position_GRCh37"	"Alleles"	"R2"	"D'"	"Risk_Allele"	"Effect_Size_95_CI"	"Beta_or_OR"	"P_value"
"rs9307239"	"Alcohol dependence"	"rs9307239"	"chr4:100246937"	"C=0.657, T=0.343"	"1"	"1"	"0.549"	"0.0254"	"(,)"	1e-07
"rs2213041"	"Conduct disorder (maternal expressed emotions interaction)"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.14"	"1.47"	NA	3e-06
"rs2213041"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"NR"	"1.46"	"1.28-1.67"	1e-08
"rs2213041"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.1407"	"1.469"	NA	2e-08
"rs1789889"	"Conduct disorder (maternal expressed emotions interaction)"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.14"	"1.47"	NA	3e-06
"rs1789889"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"NR"	"1.46"	"1.28-1.67"	1e-08
"rs1789889"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.1407"	"1.469"	NA	2e-08
"rs2226898"	"Conduct disorder (maternal expressed emotions interaction)"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"0.963855421686747"	"1"	"0.14"	"1.47"	NA	3e-06
"rs2226898"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"0.963855421686747"	"1"	"NR"	"1.46"	"1.28-1.67"	1e-08
"rs2226898"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"0.963855421686747"	"1"	"0.1407"	"1.469"	NA	2e-08
"rs1789890"	"Conduct disorder (maternal expressed emotions interaction)"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.14"	"1.47"	NA	3e-06
"rs1789890"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"NR"	"1.46"	"1.28-1.67"	1e-08
"rs1789890"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.1407"	"1.469"	NA	2e-08
"rs1789891"	"Conduct disorder (maternal expressed emotions interaction)"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.14"	"1.47"	NA	3e-06
"rs1789891"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"NR"	"1.46"	"1.28-1.67"	1e-08
"rs1789891"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.1407"	"1.469"	NA	2e-08
"rs1229863"	"Conduct disorder (maternal expressed emotions interaction)"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.14"	"1.47"	NA	3e-06
"rs1229863"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"NR"	"1.46"	"1.28-1.67"	1e-08
"rs1229863"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.1407"	"1.469"	NA	2e-08
"rs1154432"	"Conduct disorder (maternal expressed emotions interaction)"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.14"	"1.47"	NA	3e-06
"rs1154432"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"NR"	"1.46"	"1.28-1.67"	1e-08
"rs1154432"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.1407"	"1.469"	NA	2e-08
"rs1154430"	"Conduct disorder (maternal expressed emotions interaction)"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.14"	"1.47"	NA	3e-06
"rs1154430"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"NR"	"1.46"	"1.28-1.67"	1e-08
"rs1154430"	"Alcohol dependence"	"rs1789891"	"chr4:100250419"	"A=0.167, C=0.833"	"1"	"1"	"0.1407"	"1.469"	NA	2e-08
