snp	gencode_id	gene	tissue	adj_pval	log2_aFC	log2_aFC_lower	log2_aFC_upper	maf	interaction_type	hic_score	eqtl_pval	snp_chr	snp_locus	ref	alt	gene_chr	gene_start	gene_end	distance	cell_lines	cell_line_hic_scores	expression	max_expressed_tissue	max_expression	min_expressed_tissue	min_expression
rs10750793	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	0.016906514288571033	0.8085332421643068	0.524677574016666	1.1565186556324254	0.14688128232955933	Cis	12.71	2.36918066462624e-07	chr11	67038918	C	G	chr11	67662162	67681200	623244	IMR90_Jin2013, Peripheral_blood_T_cells_Kloetgen2019, H1_trophectoderm_cells_Dixon2015, SK-N-MC_ENCODE2012, T47D_ENCODE2012, A549_ENCODE2012, G401_ENCODE2012, GM12878_Rao2014, IMR90_Dixon2012, Liver_cells_Schmitt2016, H1_hESCs_Dixon2015, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, H1_neuronal_progenitor_cells_Dixon2015, Brain_astrocyte_ENCODE2012, Aorta_cells_Schmitt2016, Germinal_zone_neurons_Won2016, Panc1_ENCODE2012, HepG2_ENCODE2012, GM12878_Rao2014	0.33, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.5, 1.0, 1.0, 0.5, 1.5, 0.5, 1.0, 1.0, 0.33, 0.5, 0.5, 0.04	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs687343	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	0.004156826045272008	0.9184746212110476	0.6626793757606915	1.2159647652916536	0.10663986206054688	Cis	75.83	4.8930950825516365e-08	chr11	67509983	A	G	chr11	67662162	67681200	152179	Germinal_zone_neurons_Won2016, Caki2_ENCODE2012, RPMI7951_ENCODE2012, GM12878_Rao2014, G401_ENCODE2012, Panc1_ENCODE2012, H1_mesenchymal_stem_cells_Dixon2015, Cortical_plate_neurons_Won2016, Brain_astrocyte_ENCODE2012, Spleen_cells_Schmitt2016, IMR90_Jin2013, Bladder_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, IMR90_Dixon2012, A549_ENCODE2012, H1_hESCs_Dixon2012, HepG2_ENCODE2012, SJCRH30_ENCODE2012, Right_ventricle_cells_Schmitt2016, H1_neuronal_progenitor_cells_Dixon2015, GM12878_Schmitt2016, SK-N-MC_ENCODE2012, H1_mesendoderm_cells_Dixon2015, T47D_ENCODE2012, SK-N-DZ_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, Left_ventricle_cells_Schmitt2016, Adrenal_gland_cells_Schmitt2016, Lung_cells_Schmitt2016, NCI-H460_ENCODE2012, Peripheral_blood_T_cells_Kloetgen2019, H1_hESCs_Jin2013, ACHN_ENCODE2012, Jurkat_Lucic2019, GM12878_Rao2014, THP-1_ENCODE2012, A549_ENCODE2012, HeLa_Rao2014, IMR90_Rao2014, K562_Rao2014, HUVEC_Rao2014, KBM7_Rao2014, Nalm6_Tian2019, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.67, 0.5, 2.0, 4.0, 3.0, 1.5, 2.5, 2.33, 1.5, 1.0, 1.17, 1.5, 2.5, 1.5, 2.0, 2.5, 4.0, 1.5, 1.5, 0.5, 4.0, 0.5, 0.5, 1.0, 2.0, 1.0, 2.0, 2.5, 1.0, 0.5, 1.0, 1.0, 0.5, 0.5, 1.0, 1.0, 0.5, 3.0, 1.22, 2.17, 1.12, 0.5, 0.29, 0.5, 1.0, 0.2, 3.0, 0.33, 2.0, 0.33	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs594729	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	0.004156826045272008	0.9184746212110476	0.6614221405890355	1.2384299613784069	0.10663986206054688	Cis	67.27	4.8931129437117687e-08	chr11	67511138	G	A	chr11	67662162	67681200	151024	Germinal_zone_neurons_Won2016, Caki2_ENCODE2012, RPMI7951_ENCODE2012, GM12878_Rao2014, G401_ENCODE2012, Panc1_ENCODE2012, H1_mesenchymal_stem_cells_Dixon2015, Cortical_plate_neurons_Won2016, Brain_astrocyte_ENCODE2012, Spleen_cells_Schmitt2016, IMR90_Jin2013, Bladder_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, IMR90_Dixon2012, A549_ENCODE2012, H1_hESCs_Dixon2012, HepG2_ENCODE2012, SJCRH30_ENCODE2012, Right_ventricle_cells_Schmitt2016, H1_neuronal_progenitor_cells_Dixon2015, GM12878_Schmitt2016, SK-N-MC_ENCODE2012, H1_mesendoderm_cells_Dixon2015, T47D_ENCODE2012, SK-N-DZ_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, Left_ventricle_cells_Schmitt2016, Adrenal_gland_cells_Schmitt2016, Lung_cells_Schmitt2016, NCI-H460_ENCODE2012, Peripheral_blood_T_cells_Kloetgen2019, H1_hESCs_Jin2013, ACHN_ENCODE2012, A549_ENCODE2012, GM12878_Rao2014, HUVEC_Rao2014, K562_Rao2014, KBM7_Rao2014, HeLa_Rao2014, THP-1_ENCODE2012, Nalm6_Tian2019, Jurkat_Lucic2019, TeloHAEC_Lalonde2019	2.67, 0.5, 2.0, 4.0, 3.0, 1.5, 2.5, 2.33, 1.5, 1.0, 1.17, 1.5, 2.5, 1.5, 2.0, 2.5, 4.0, 1.5, 1.5, 0.5, 4.0, 0.5, 0.5, 1.0, 2.0, 1.0, 2.0, 2.5, 1.0, 0.5, 1.0, 1.0, 0.5, 0.5, 1.0, 1.0, 0.5, 0.75, 0.61, 0.33, 0.17, 0.2, 0.38, 1.17, 2.0, 0.5, 1.0	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs597463	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	0.004156826045272008	0.9184746212110476	0.6660358136519212	1.2248509304910158	0.10663986206054688	Cis	67.77	4.8931129437117687e-08	chr11	67511678	T	C	chr11	67662162	67681200	150484	Peripheral_blood_T_cells_Kloetgen2019, H1_mesenchymal_stem_cells_Dixon2015, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, SK-MEL-5_ENCODE2012, HepG2_ENCODE2012, H1_hESCs_Dixon2012, GM12878_Rao2014, Liver_cells_Schmitt2016, H1_mesendoderm_cells_Dixon2015, Spleen_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, H1_hESCs_Dixon2015, Germinal_zone_neurons_Won2016, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Aorta_cells_Schmitt2016, H1_neuronal_progenitor_cells_Dixon2015, Cortical_plate_neurons_Won2016, G401_ENCODE2012, Panc1_ENCODE2012, LNCaP_clone_FGC_ENCODE2012, Hippocampus_cells_Schmitt2016, T47D_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, Left_ventricle_cells_Schmitt2016, Pancreas_cells_Schmitt2016, Spinal_cord_astrocyte_ENCODE2012, Bladder_cells_Schmitt2016, Caki2_ENCODE2012, RPMI7951_ENCODE2012, Right_ventricle_cells_Schmitt2016, A549_ENCODE2012, H1_hESCs_Jin2013, Small_intestine_cells_Schmitt2016, DLD1_ENCODE2012, GM12878_Rao2014, K562_Rao2014, NHEK_Rao2014, IMR90_Rao2014, Jurkat_Lucic2019, Peripheral_blood_B_cells_Johanson2018, A549_ENCODE2012, THP-1_ENCODE2012, HUVEC_Rao2014, HeLa_Rao2014, KBM7_Rao2014, HMEC_Rao2014, Nalm6_Tian2019, K562_Belaghzal2017, TeloHAEC_Lalonde2019	2.5, 2.5, 1.5, 3.5, 0.5, 3.5, 1.0, 3.25, 2.0, 2.5, 1.0, 2.0, 2.5, 1.67, 0.33, 2.0, 2.0, 0.5, 3.0, 1.5, 1.5, 0.5, 1.0, 1.5, 2.0, 2.0, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 0.87, 0.67, 0.67, 0.57, 3.5, 1.5, 1.0, 1.83, 0.67, 0.12, 0.2, 0.33, 1.0, 0.33, 1.0	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs604904	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	0.007528274579521744	0.9591066395638046	0.6738706854919515	1.3024733471524317	0.11167001724243164	Cis	71.91	9.846374075820108e-08	chr11	67516420	G	T	chr11	67662162	67681200	145742	Peripheral_blood_T_cells_Kloetgen2019, H1_mesenchymal_stem_cells_Dixon2015, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, SK-MEL-5_ENCODE2012, HepG2_ENCODE2012, H1_hESCs_Dixon2012, GM12878_Rao2014, Liver_cells_Schmitt2016, H1_mesendoderm_cells_Dixon2015, Spleen_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, H1_hESCs_Dixon2015, Germinal_zone_neurons_Won2016, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Aorta_cells_Schmitt2016, H1_neuronal_progenitor_cells_Dixon2015, Cortical_plate_neurons_Won2016, G401_ENCODE2012, Panc1_ENCODE2012, LNCaP_clone_FGC_ENCODE2012, Hippocampus_cells_Schmitt2016, T47D_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, Left_ventricle_cells_Schmitt2016, Pancreas_cells_Schmitt2016, Spinal_cord_astrocyte_ENCODE2012, Bladder_cells_Schmitt2016, Caki2_ENCODE2012, RPMI7951_ENCODE2012, Right_ventricle_cells_Schmitt2016, A549_ENCODE2012, H1_hESCs_Jin2013, Small_intestine_cells_Schmitt2016, DLD1_ENCODE2012, K562_Rao2014, THP-1_ENCODE2012, A549_ENCODE2012, Jurkat_Lucic2019, GM12878_Rao2014, KBM7_Rao2014, IMR90_Rao2014, HeLa_Rao2014, Nalm6_Tian2019, HUVEC_Rao2014, NHEK_Rao2014, Peripheral_blood_B_cells_Johanson2018, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.5, 2.5, 1.5, 3.5, 0.5, 3.5, 1.0, 3.25, 2.0, 2.5, 1.0, 2.0, 2.5, 1.67, 0.33, 2.0, 2.0, 0.5, 3.0, 1.5, 1.5, 0.5, 1.0, 1.5, 2.0, 2.0, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 0.67, 3.0, 1.5, 5.5, 1.57, 0.4, 0.57, 0.38, 1.0, 0.33, 0.33, 0.5, 2.0, 0.67	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs685407	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	0.0016866319442885712	1.0173333029952327	0.7283824427105353	1.3609019614060631	0.1036217212677002	Cis	67.78	1.85932442079318e-08	chr11	67517900	A	C	chr11	67662162	67681200	144262	Peripheral_blood_T_cells_Kloetgen2019, H1_mesenchymal_stem_cells_Dixon2015, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, SK-MEL-5_ENCODE2012, HepG2_ENCODE2012, H1_hESCs_Dixon2012, GM12878_Rao2014, Liver_cells_Schmitt2016, H1_mesendoderm_cells_Dixon2015, Spleen_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, H1_hESCs_Dixon2015, Germinal_zone_neurons_Won2016, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Aorta_cells_Schmitt2016, H1_neuronal_progenitor_cells_Dixon2015, Cortical_plate_neurons_Won2016, G401_ENCODE2012, Panc1_ENCODE2012, LNCaP_clone_FGC_ENCODE2012, Hippocampus_cells_Schmitt2016, T47D_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, Left_ventricle_cells_Schmitt2016, Pancreas_cells_Schmitt2016, Spinal_cord_astrocyte_ENCODE2012, Bladder_cells_Schmitt2016, Caki2_ENCODE2012, RPMI7951_ENCODE2012, Right_ventricle_cells_Schmitt2016, A549_ENCODE2012, H1_hESCs_Jin2013, Small_intestine_cells_Schmitt2016, DLD1_ENCODE2012, GM12878_Rao2014, Jurkat_Lucic2019, Nalm6_Tian2019, THP-1_ENCODE2012, HeLa_Rao2014, A549_ENCODE2012, K562_Rao2014, Peripheral_blood_B_cells_Johanson2018, NHEK_Rao2014, HUVEC_Rao2014, Transverse_colon_cells_ENCODE2012, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.5, 2.5, 1.5, 3.5, 0.5, 3.5, 1.0, 3.25, 2.0, 2.5, 1.0, 2.0, 2.5, 1.67, 0.33, 2.0, 2.0, 0.5, 3.0, 1.5, 1.5, 0.5, 1.0, 1.5, 2.0, 2.0, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 0.78, 2.5, 2.0, 1.33, 0.38, 1.62, 0.83, 0.5, 0.33, 0.67, 1.0, 2.0, 0.33	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs5792422	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	2.6681275783528713e-12	0.6805052804294974	0.4873311302905896	0.8837846954639689	0.1529175043106079	Cis	162.02	7.477917874133166e-18	chr11	67651503	G	GT	chr11	67662162	67681200	10659	H1_mesendoderm_cells_Dixon2015, IMR90_Jin2013, RPMI7951_ENCODE2012, GM12878_Rao2014, Brain_astrocyte_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, SK-MEL-5_ENCODE2012, Spleen_cells_Schmitt2016, Left_ventricle_cells_Schmitt2016, Dorsolateral_prefrontal_cortex_cells_Schmitt2016, HepG2_ENCODE2012, LNCaP_clone_FGC_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2012, G401_ENCODE2012, Peripheral_blood_T_cells_Kloetgen2019, Endometrial_microvascular_endothelial_cells_ENCODE2012, NCI-H460_ENCODE2012, Pancreas_cells_Schmitt2016, Bladder_cells_Schmitt2016, A549_ENCODE2012, H1_hESCs_Dixon2015, SJCRH30_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, Spinal_cord_astrocyte_ENCODE2012, H1_mesenchymal_stem_cells_Dixon2015, Lung_cells_Schmitt2016, SK-N-MC_ENCODE2012, Cortical_plate_neurons_Won2016, DLD1_ENCODE2012, GM12878_Schmitt2016, IMR90_Dixon2012, Ovary_cells_Schmitt2016, Small_intestine_cells_Schmitt2016, Aorta_cells_Schmitt2016, Liver_cells_Schmitt2016, Psoas_muscle_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, Caki2_ENCODE2012, Right_ventricle_cells_Schmitt2016, T47D_ENCODE2012, SK-N-DZ_ENCODE2012, H1_neuronal_progenitor_cells_Dixon2015, H1_hESCs_Jin2013, ACHN_ENCODE2012, Panc1_ENCODE2012, Hippocampus_cells_Schmitt2016, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, Brain_pericyte_ENCODE2012, Adrenal_gland_cells_Schmitt2016, GM12878_Rao2014, THP-1_ENCODE2012, Nalm6_Tian2019, K562_Rao2014, A549_ENCODE2012, HeLa_Rao2014, Jurkat_Lucic2019, IMR90_Rao2014, NHEK_Rao2014, Peripheral_blood_B_cells_Johanson2018, Transverse_colon_cells_ENCODE2012, KBM7_Rao2014, HMEC_Rao2014, TeloHAEC_Lalonde2019	3.0, 2.33, 1.5, 3.0, 2.5, 3.0, 2.5, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 2.5, 3.0, 1.0, 2.0, 2.25, 2.5, 3.0, 3.0, 1.0, 2.0, 1.5, 3.0, 1.5, 2.0, 3.0, 2.0, 3.0, 3.0, 1.0, 1.0, 3.0, 3.0, 1.67, 3.0, 1.5, 1.5, 2.5, 2.0, 2.5, 3.0, 1.0, 2.0, 3.0, 3.0, 1.0, 1.0, 2.39, 6.83, 14.0, 2.67, 2.75, 1.25, 6.0, 2.14, 2.0, 0.5, 3.0, 0.4, 0.33, 4.0	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs10736660	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	2.0059216280928617e-05	0.4412835626801653	0.3034927530362819	0.6166017876354281	0.23541247844696045	Cis	163.79	1.386751120362299e-10	chr11	67652384	G	A	chr11	67662162	67681200	9778	H1_mesendoderm_cells_Dixon2015, IMR90_Jin2013, RPMI7951_ENCODE2012, GM12878_Rao2014, Brain_astrocyte_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, SK-MEL-5_ENCODE2012, Spleen_cells_Schmitt2016, Left_ventricle_cells_Schmitt2016, Dorsolateral_prefrontal_cortex_cells_Schmitt2016, HepG2_ENCODE2012, LNCaP_clone_FGC_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2012, G401_ENCODE2012, Peripheral_blood_T_cells_Kloetgen2019, Endometrial_microvascular_endothelial_cells_ENCODE2012, NCI-H460_ENCODE2012, Pancreas_cells_Schmitt2016, Bladder_cells_Schmitt2016, A549_ENCODE2012, H1_hESCs_Dixon2015, SJCRH30_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, Spinal_cord_astrocyte_ENCODE2012, H1_mesenchymal_stem_cells_Dixon2015, Lung_cells_Schmitt2016, SK-N-MC_ENCODE2012, Cortical_plate_neurons_Won2016, DLD1_ENCODE2012, GM12878_Schmitt2016, IMR90_Dixon2012, Ovary_cells_Schmitt2016, Small_intestine_cells_Schmitt2016, Aorta_cells_Schmitt2016, Liver_cells_Schmitt2016, Psoas_muscle_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, Caki2_ENCODE2012, Right_ventricle_cells_Schmitt2016, T47D_ENCODE2012, SK-N-DZ_ENCODE2012, H1_neuronal_progenitor_cells_Dixon2015, H1_hESCs_Jin2013, ACHN_ENCODE2012, Panc1_ENCODE2012, Hippocampus_cells_Schmitt2016, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, Brain_pericyte_ENCODE2012, Adrenal_gland_cells_Schmitt2016, Jurkat_Lucic2019, THP-1_ENCODE2012, GM12878_Rao2014, NHEK_Rao2014, Nalm6_Tian2019, K562_Rao2014, A549_ENCODE2012, HeLa_Rao2014, IMR90_Rao2014, KBM7_Rao2014, HUVEC_Rao2014, HMEC_Rao2014, Peripheral_blood_B_cells_Johanson2018, TeloHAEC_Lalonde2019, K562_Belaghzal2017	3.0, 2.33, 1.5, 3.0, 2.5, 3.0, 2.5, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 2.5, 3.0, 1.0, 2.0, 2.25, 2.5, 3.0, 3.0, 1.0, 2.0, 1.5, 3.0, 1.5, 2.0, 3.0, 2.0, 3.0, 3.0, 1.0, 1.0, 3.0, 3.0, 1.67, 3.0, 1.5, 1.5, 2.5, 2.0, 2.5, 3.0, 1.0, 2.0, 3.0, 3.0, 1.0, 1.0, 9.0, 10.33, 2.48, 1.67, 8.0, 2.83, 4.62, 1.62, 2.14, 2.0, 2.33, 0.67, 1.0, 1.0, 0.33	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs2187001	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	3.7528050660481564e-08	0.720376849874073	0.5206627351367906	1.0322797048982508	0.1736111044883728	Cis	189.42	1.2621511044324221e-13	chr11	67652982	A	T	chr11	67662162	67681200	9180	H1_mesendoderm_cells_Dixon2015, IMR90_Jin2013, RPMI7951_ENCODE2012, GM12878_Rao2014, Brain_astrocyte_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, SK-MEL-5_ENCODE2012, Spleen_cells_Schmitt2016, Left_ventricle_cells_Schmitt2016, Dorsolateral_prefrontal_cortex_cells_Schmitt2016, HepG2_ENCODE2012, LNCaP_clone_FGC_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2012, G401_ENCODE2012, Peripheral_blood_T_cells_Kloetgen2019, Endometrial_microvascular_endothelial_cells_ENCODE2012, NCI-H460_ENCODE2012, Pancreas_cells_Schmitt2016, Bladder_cells_Schmitt2016, A549_ENCODE2012, H1_hESCs_Dixon2015, SJCRH30_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, Spinal_cord_astrocyte_ENCODE2012, H1_mesenchymal_stem_cells_Dixon2015, Lung_cells_Schmitt2016, SK-N-MC_ENCODE2012, Cortical_plate_neurons_Won2016, DLD1_ENCODE2012, GM12878_Schmitt2016, IMR90_Dixon2012, Ovary_cells_Schmitt2016, Small_intestine_cells_Schmitt2016, Aorta_cells_Schmitt2016, Liver_cells_Schmitt2016, Psoas_muscle_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, Caki2_ENCODE2012, Right_ventricle_cells_Schmitt2016, T47D_ENCODE2012, SK-N-DZ_ENCODE2012, H1_neuronal_progenitor_cells_Dixon2015, H1_hESCs_Jin2013, ACHN_ENCODE2012, Panc1_ENCODE2012, Hippocampus_cells_Schmitt2016, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, Brain_pericyte_ENCODE2012, Adrenal_gland_cells_Schmitt2016, GM12878_Rao2014, K562_Rao2014, THP-1_ENCODE2012, Jurkat_Lucic2019, KBM7_Rao2014, A549_ENCODE2012, Nalm6_Tian2019, HeLa_Rao2014, IMR90_Rao2014, HUVEC_Rao2014, NHEK_Rao2014, Peripheral_blood_CD8+_T_cells_Johanson2018, Peripheral_blood_B_cells_Johanson2018, HMEC_Rao2014, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, Peripheral_blood_CD4+_T_cells_Johanson2018, TeloHAEC_Lalonde2019, K562_Belaghzal2017	3.0, 2.33, 1.5, 3.0, 2.5, 3.0, 2.5, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 2.5, 3.0, 1.0, 2.0, 2.25, 2.5, 3.0, 3.0, 1.0, 2.0, 1.5, 3.0, 1.5, 2.0, 3.0, 2.0, 3.0, 3.0, 1.0, 1.0, 3.0, 3.0, 1.67, 3.0, 1.5, 1.5, 2.5, 2.0, 2.5, 3.0, 1.0, 2.0, 3.0, 3.0, 1.0, 1.0, 3.74, 4.0, 9.5, 14.0, 3.4, 5.75, 17.0, 1.5, 3.29, 2.33, 2.0, 1.5, 1.0, 0.5, 3.0, 1.0, 1.5, 0.67	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
rs4930211	ENSG00000132746.14	ALDH3B2	Esophagus_Mucosa	3.727125375645152e-13	0.7093380945437079	0.5261938560374857	0.9587863448261892	0.149899423122406	Cis	190.66	7.886639778258334e-19	chr11	67656421	G	T	chr11	67662162	67681200	5741	H1_mesendoderm_cells_Dixon2015, IMR90_Jin2013, RPMI7951_ENCODE2012, GM12878_Rao2014, Brain_astrocyte_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, SK-MEL-5_ENCODE2012, Spleen_cells_Schmitt2016, Left_ventricle_cells_Schmitt2016, Dorsolateral_prefrontal_cortex_cells_Schmitt2016, HepG2_ENCODE2012, LNCaP_clone_FGC_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2012, G401_ENCODE2012, Peripheral_blood_T_cells_Kloetgen2019, Endometrial_microvascular_endothelial_cells_ENCODE2012, NCI-H460_ENCODE2012, Pancreas_cells_Schmitt2016, Bladder_cells_Schmitt2016, A549_ENCODE2012, H1_hESCs_Dixon2015, SJCRH30_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, Spinal_cord_astrocyte_ENCODE2012, H1_mesenchymal_stem_cells_Dixon2015, Lung_cells_Schmitt2016, SK-N-MC_ENCODE2012, Cortical_plate_neurons_Won2016, DLD1_ENCODE2012, GM12878_Schmitt2016, IMR90_Dixon2012, Ovary_cells_Schmitt2016, Small_intestine_cells_Schmitt2016, Aorta_cells_Schmitt2016, Liver_cells_Schmitt2016, Psoas_muscle_cells_Schmitt2016, H1_trophectoderm_cells_Dixon2015, Caki2_ENCODE2012, Right_ventricle_cells_Schmitt2016, T47D_ENCODE2012, SK-N-DZ_ENCODE2012, H1_neuronal_progenitor_cells_Dixon2015, H1_hESCs_Jin2013, ACHN_ENCODE2012, Panc1_ENCODE2012, Hippocampus_cells_Schmitt2016, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, Brain_pericyte_ENCODE2012, Adrenal_gland_cells_Schmitt2016, GM12878_Rao2014, A549_ENCODE2012, THP-1_ENCODE2012, K562_Rao2014, IMR90_Rao2014, HUVEC_Rao2014, Peripheral_blood_B_cells_Johanson2018, HeLa_Rao2014, Nalm6_Tian2019, KBM7_Rao2014, Jurkat_Lucic2019, Peripheral_blood_CD4+_T_cells_Johanson2018, Peripheral_blood_CD8+_T_cells_Johanson2018, HMEC_Rao2014, Transverse_colon_cells_ENCODE2012, NHEK_Rao2014, K562_Belaghzal2017, TeloHAEC_Lalonde2019	3.0, 2.33, 1.5, 3.0, 2.5, 3.0, 2.5, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 2.5, 3.0, 1.0, 2.0, 2.25, 2.5, 3.0, 3.0, 1.0, 2.0, 1.5, 3.0, 1.5, 2.0, 3.0, 2.0, 3.0, 3.0, 1.0, 1.0, 3.0, 3.0, 1.67, 3.0, 1.5, 1.5, 2.5, 2.0, 2.5, 3.0, 1.0, 2.0, 3.0, 3.0, 1.0, 1.0, 4.48, 6.12, 13.5, 5.33, 2.86, 2.67, 2.0, 1.25, 16.0, 2.2, 10.0, 1.0, 1.0, 2.17, 1.0, 1.67, 1.67, 2.0	184.19099999999997	Esophagus_Mucosa	184.19099999999997	Brain_Amygdala	0.0171972
