"Query"	"GWAS_Trait"	"RS_Number"	"Position_GRCh37"	"Alleles"	"R2"	"D'"	"Risk_Allele"	"Effect_Size_95_CI"	"Beta_or_OR"	"P_value"
"rs7954946"	"Height"	"rs7954946"	"chr12:105464036"	"C=0.384, T=0.616"	"1"	"1"	"NR"	NA	NA	3e-10
"rs149604932"	"Height"	"rs7954946"	"chr12:105464036"	"C=0.384, T=0.616"	"0.978818998716303"	"1"	"NR"	NA	NA	3e-10
"rs72282029"	"Height"	"rs7954946"	"chr12:105464036"	"C=0.384, T=0.616"	"0.978818998716303"	"1"	"NR"	NA	NA	3e-10
"rs638907"	"Keratinocyte cancer (MTAG)"	"rs638907"	"chr12:52913517"	"A=0.308, G=0.692"	"1"	"1"	"0.727714"	"1.11"	"1.08-1.13"	2e-23
"rs62394542"	"Mean reticulocyte volume"	"rs76455591"	"chr6:26060531"	"-=0.904, A=0.096"	"0.942105263157895"	"1"	"0.143591"	"0.023306675"	"0.017-0.03"	2e-13
"rs11595571"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs11595589"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs12260893"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs71489990"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs12246335"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs66668186"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs10885391"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs34646695"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs11196156"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs10509967"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs12269491"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs35757597"	"Hemoglobin"	"rs3814570"	"chr10:114708510"	"C=0.737, T=0.263"	"0.923335054207537"	"1"	"0.287108"	"0.014112855"	"0.0093-0.0189"	8e-09
"rs6587756"	"Lung function (FVC)"	"rs6681426"	"chr1:150586971"	"A=0.641, G=0.359"	"1"	"1"	"NR"	"0.029"	"0.019-0.039"	6e-09
"rs6587756"	"Lung function (FEV1)"	"rs6681426"	"chr1:150586971"	"A=0.641, G=0.359"	"1"	"1"	"NR"	"0.029"	"0.019-0.039"	4e-09
"rs6587756"	"Coffee consumption"	"rs6681426"	"chr1:150586971"	"A=0.641, G=0.359"	"1"	"1"	"NR"	"0.078"	"0.055-0.101"	1e-10
"rs759806094"	"Chronotype"	"rs7524620"	"chr1:150616699"	"A=0.556, G=0.444"	"0.8618825722274"	"0.937931034482759"	"0.5935"	"0.0108808"	"0.0075-0.0143"	3e-10
"rs759806094"	"Blood protein levels"	"rs1336900"	"chr1:150679033"	"A=0.424, G=0.576"	"0.94010889292196"	"1"	"0.3819095"	"0.4007"	"0.32-0.49"	1e-19
"rs759806094"	"Morning person"	"rs11587444"	"chr1:150722844"	"A=0.576, G=0.424"	"0.94010889292196"	"1"	"NR"	NA	NA	2e-08
"rs778496532"	"Chronotype"	"rs7524620"	"chr1:150616699"	"A=0.556, G=0.444"	"0.900326188257223"	"0.958620689655172"	"0.5935"	"0.0108808"	"0.0075-0.0143"	3e-10
"rs778496532"	"Blood protein levels"	"rs1336900"	"chr1:150679033"	"A=0.424, G=0.576"	"0.94010889292196"	"1"	"0.3819095"	"0.4007"	"0.32-0.49"	1e-19
"rs778496532"	"Morning person"	"rs11587444"	"chr1:150722844"	"A=0.576, G=0.424"	"0.94010889292196"	"1"	"NR"	NA	NA	2e-08
"rs12402939"	"Chronotype"	"rs7524620"	"chr1:150616699"	"A=0.556, G=0.444"	"0.881038223140496"	"0.938636363636364"	"0.5935"	"0.0108808"	"0.0075-0.0143"	3e-10
"rs12402939"	"Blood protein levels"	"rs1336900"	"chr1:150679033"	"A=0.424, G=0.576"	"0.921052631578947"	"1"	"0.3819095"	"0.4007"	"0.32-0.49"	1e-19
"rs12402939"	"Morning person"	"rs11587444"	"chr1:150722844"	"A=0.576, G=0.424"	"0.921052631578947"	"1"	"NR"	NA	NA	2e-08
"rs3059634"	"Chronotype"	"rs7524620"	"chr1:150616699"	"A=0.556, G=0.444"	"0.97972972972973"	"1"	"0.5935"	"0.0108808"	"0.0075-0.0143"	3e-10
"rs3059634"	"Blood protein levels"	"rs1336900"	"chr1:150679033"	"A=0.424, G=0.576"	"0.94010889292196"	"1"	"0.3819095"	"0.4007"	"0.32-0.49"	1e-19
"rs3059634"	"Morning person"	"rs11587444"	"chr1:150722844"	"A=0.576, G=0.424"	"0.94010889292196"	"1"	"NR"	NA	NA	2e-08
"rs7524620"	"Chronotype"	"rs7524620"	"chr1:150616699"	"A=0.556, G=0.444"	"1"	"1"	"0.5935"	"0.0108808"	"0.0075-0.0143"	3e-10
"rs7524620"	"Blood protein levels"	"rs1336900"	"chr1:150679033"	"A=0.424, G=0.576"	"0.921052631578947"	"1"	"0.3819095"	"0.4007"	"0.32-0.49"	1e-19
"rs7524620"	"Morning person"	"rs11587444"	"chr1:150722844"	"A=0.576, G=0.424"	"0.921052631578947"	"1"	"NR"	NA	NA	2e-08
"rs56868972"	"Chronotype"	"rs7524620"	"chr1:150616699"	"A=0.556, G=0.444"	"1"	"1"	"0.5935"	"0.0108808"	"0.0075-0.0143"	3e-10
"rs56868972"	"Blood protein levels"	"rs1336900"	"chr1:150679033"	"A=0.424, G=0.576"	"0.921052631578947"	"1"	"0.3819095"	"0.4007"	"0.32-0.49"	1e-19
"rs56868972"	"Morning person"	"rs11587444"	"chr1:150722844"	"A=0.576, G=0.424"	"0.921052631578947"	"1"	"NR"	NA	NA	2e-08
"rs12086472"	"Chronotype"	"rs7524620"	"chr1:150616699"	"A=0.556, G=0.444"	"0.97972972972973"	"1"	"0.5935"	"0.0108808"	"0.0075-0.0143"	3e-10
"rs12086472"	"Blood protein levels"	"rs1336900"	"chr1:150679033"	"A=0.424, G=0.576"	"0.94010889292196"	"1"	"0.3819095"	"0.4007"	"0.32-0.49"	1e-19
"rs12086472"	"Morning person"	"rs11587444"	"chr1:150722844"	"A=0.576, G=0.424"	"0.94010889292196"	"1"	"NR"	NA	NA	2e-08
