"Query"	"GWAS_Trait"	"RS_Number"	"Position_GRCh37"	"Alleles"	"R2"	"D'"	"Risk_Allele"	"Effect_Size_95_CI"	"Beta_or_OR"	"P_value"
"rs1172955"	"Height"	"rs1172955"	"chr10:97877320"	"A=0.682, T=0.318"	"1"	"1"	"NR"	"0.022964759"	"0.016-0.03"	9e-11
"rs1172955"	"Menarche (age at onset)"	"rs1172955"	"chr10:97877320"	"A=0.682, T=0.318"	"1"	"1"	"NR"	NA	NA	6e-33
"rs11188393"	"PR interval"	"rs12359272"	"chr10:97365163"	"A=0.369, G=0.631"	"0.8614"	"1"	"0.37"	"1"	"0.75-1.25"	4e-16
"rs11188393"	"PR interval"	"rs10882644"	"chr10:97388579"	"C=0.636, T=0.364"	"0.842857142857143"	"1"	"0.3756"	"0.7597"	"0.63-0.89"	9e-31
"rs11188393"	"Blood metabolite levels"	"rs56322409"	"chr10:97395962"	"C=0.364, T=0.636"	"0.842857142857143"	"1"	"0.63"	"0.011"	"0.0071-0.0149"	8e-11
"rs560914749"	"PR interval"	"rs12359272"	"chr10:97365163"	"A=0.369, G=0.631"	"0.936251997468082"	"0.978126380910296"	"0.37"	"1"	"0.75-1.25"	4e-16
"rs560914749"	"PR interval"	"rs10882644"	"chr10:97388579"	"C=0.636, T=0.364"	"0.915528864117574"	"0.977822580645161"	"0.3756"	"0.7597"	"0.63-0.89"	9e-31
"rs560914749"	"Blood metabolite levels"	"rs56322409"	"chr10:97395962"	"C=0.364, T=0.636"	"0.915528864117574"	"0.977822580645161"	"0.63"	"0.011"	"0.0071-0.0149"	8e-11
"rs12359272"	"PR interval"	"rs12359272"	"chr10:97365163"	"A=0.369, G=0.631"	"1"	"1"	"0.37"	"1"	"0.75-1.25"	4e-16
"rs12359272"	"PR interval"	"rs10882644"	"chr10:97388579"	"C=0.636, T=0.364"	"0.978473581213307"	"1"	"0.3756"	"0.7597"	"0.63-0.89"	9e-31
"rs12359272"	"Blood metabolite levels"	"rs56322409"	"chr10:97395962"	"C=0.364, T=0.636"	"0.978473581213307"	"1"	"0.63"	"0.011"	"0.0071-0.0149"	8e-11
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0479275"	"0.036-0.06"	3e-15
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0460936"	"0.034-0.058"	3e-14
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0456839"	"0.034-0.058"	7e-14
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0429528"	"0.031-0.055"	4e-12
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0428924"	"0.031-0.055"	4e-12
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0407263"	"0.029-0.053"	6e-11
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.040397"	"0.028-0.052"	1e-10
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0389573"	"0.027-0.051"	8e-10
"rs12359272"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0354452"	"0.023-0.047"	3e-08
"rs12359272"	"Blood protein levels"	"rs4918970"	"chr10:97563007"	"A=0.343, G=0.657"	"0.85443753796566"	"0.976705882352941"	"0.57296875"	"0.13591346"	"0.089-0.183"	2e-08
"rs12359272"	"Blood protein levels"	"rs11188501"	"chr10:97600919"	"A=0.343, G=0.657"	"0.85443753796566"	"0.976705882352941"	"0.34"	"0.21"	"0.15-0.27"	2e-16
"rs11188394"	"PR interval"	"rs12359272"	"chr10:97365163"	"A=0.369, G=0.631"	"1"	"1"	"0.37"	"1"	"0.75-1.25"	4e-16
"rs11188394"	"PR interval"	"rs10882644"	"chr10:97388579"	"C=0.636, T=0.364"	"0.978473581213307"	"1"	"0.3756"	"0.7597"	"0.63-0.89"	9e-31
"rs11188394"	"Blood metabolite levels"	"rs56322409"	"chr10:97395962"	"C=0.364, T=0.636"	"0.978473581213307"	"1"	"0.63"	"0.011"	"0.0071-0.0149"	8e-11
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0479275"	"0.036-0.06"	3e-15
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0460936"	"0.034-0.058"	3e-14
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0456839"	"0.034-0.058"	7e-14
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0429528"	"0.031-0.055"	4e-12
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0428924"	"0.031-0.055"	4e-12
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0407263"	"0.029-0.053"	6e-11
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.040397"	"0.028-0.052"	1e-10
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0389573"	"0.027-0.051"	8e-10
"rs11188394"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0354452"	"0.023-0.047"	3e-08
"rs11188394"	"Blood protein levels"	"rs4918970"	"chr10:97563007"	"A=0.343, G=0.657"	"0.85443753796566"	"0.976705882352941"	"0.57296875"	"0.13591346"	"0.089-0.183"	2e-08
"rs11188394"	"Blood protein levels"	"rs11188501"	"chr10:97600919"	"A=0.343, G=0.657"	"0.85443753796566"	"0.976705882352941"	"0.34"	"0.21"	"0.15-0.27"	2e-16
"rs7917792"	"PR interval"	"rs12359272"	"chr10:97365163"	"A=0.369, G=0.631"	"1"	"1"	"0.37"	"1"	"0.75-1.25"	4e-16
"rs7917792"	"PR interval"	"rs10882644"	"chr10:97388579"	"C=0.636, T=0.364"	"0.978473581213307"	"1"	"0.3756"	"0.7597"	"0.63-0.89"	9e-31
"rs7917792"	"Blood metabolite levels"	"rs56322409"	"chr10:97395962"	"C=0.364, T=0.636"	"0.978473581213307"	"1"	"0.63"	"0.011"	"0.0071-0.0149"	8e-11
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0479275"	"0.036-0.06"	3e-15
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0460936"	"0.034-0.058"	3e-14
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0456839"	"0.034-0.058"	7e-14
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0429528"	"0.031-0.055"	4e-12
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0428924"	"0.031-0.055"	4e-12
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0407263"	"0.029-0.053"	6e-11
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.040397"	"0.028-0.052"	1e-10
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0389573"	"0.027-0.051"	8e-10
"rs7917792"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	"rs10882661"	"chr10:97527087"	"A=0.662, G=0.338"	"0.834851100557029"	"0.976358208955224"	"0.680797"	"0.0354452"	"0.023-0.047"	3e-08
"rs7917792"	"Blood protein levels"	"rs4918970"	"chr10:97563007"	"A=0.343, G=0.657"	"0.85443753796566"	"0.976705882352941"	"0.57296875"	"0.13591346"	"0.089-0.183"	2e-08
"rs7917792"	"Blood protein levels"	"rs11188501"	"chr10:97600919"	"A=0.343, G=0.657"	"0.85443753796566"	"0.976705882352941"	"0.34"	"0.21"	"0.15-0.27"	2e-16
"rs4037"	"PR interval"	"rs12359272"	"chr10:97365163"	"A=0.369, G=0.631"	"1"	"1"	"0.37"	"1"	"0.75-1.25"	4e-16
"rs4037"	"PR interval"	"rs10882644"	"chr10:97388579"	"C=0.636, T=0.364"	"0.978473581213307"	"1"	"0.3756"	"0.7597"	"0.63-0.89"	9e-31
"rs4037"	"Blood metabolite levels"	"rs56322409"	"chr10:97395962"	"C=0.364, T=0.636"	"0.978473581213307"	"1"	"0.63"	"0.011"	"0.0071-0.0149"	8e-11
